,Movie,Year,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
10,Thor: Ragnarok,(2017),"Action,Adventure,Comedy",130 min,PG-13,TaikaWaititi,"ChrisHemsworth,TomHiddleston,CateBlanchett,MarkRuffalo","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.9,74,"615,860",$315.06M,Marvel
11,Avengers: Infinity War,(2018),"Action,Adventure,Sci-Fi",149 min,PG-13,"AnthonyRusso,JoeRusso","RobertDowneyJr.,ChrisHemsworth,MarkRuffalo,ChrisEvans",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4,68,"881,638",$678.82M,Marvel
12,Black Panther,(2018),"Action,Adventure,Sci-Fi",134 min,PG-13,RyanCoogler,"ChadwickBoseman,MichaelB.Jordan,LupitaNyong'o,DanaiGurira","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",7.3,88,"652,032",$700.06M,Marvel
13,Captain Marvel,(2019),"Action,Adventure,Sci-Fi",123 min,PG-13,"AnnaBoden,RyanFleck","BrieLarson,SamuelL.Jackson,BenMendelsohn,JudeLaw",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,6.9,64,"470,319",$426.83M,Marvel
14,Shang-Chi and the Legend of the Ten Rings,(2021),"Action,Adventure,Fantasy",,,DestinDanielCretton,"SimuLiu,Awkwafina,TonyChiu-WaiLeung,MichelleYeoh","The movie, based on Marvel Comics, will focus on Shang-Chi; 'The Master of Kung-Fu'.",,,,,Marvel
15,Spider-Man: Homecoming,(2017),"Action,Adventure,Sci-Fi",133 min,PG-13,JonWatts,"TomHolland,MichaelKeaton,RobertDowneyJr.,MarisaTomei","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",7.4,73,"532,946",$334.20M,Marvel
16,Avengers: Age of Ultron,(2015),"Action,Adventure,Sci-Fi",141 min,PG-13,JossWhedon,"RobertDowneyJr.,ChrisEvans,MarkRuffalo,ChrisHemsworth","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",7.3,66,"769,385",$459.01M,Marvel
17,Captain America: The First Avenger,(2011),"Action,Adventure,Sci-Fi",124 min,PG-13,JoeJohnston,"ChrisEvans,HugoWeaving,SamuelL.Jackson,HayleyAtwell","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",6.9,66,"761,947",$176.65M,Marvel
18,Guardians of the Galaxy Vol. 2,(2017),"Action,Adventure,Comedy",136 min,PG-13,JamesGunn,"ChrisPratt,ZoeSaldana,DaveBautista,VinDiesel","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",7.6,67,"589,362",$389.81M,Marvel
19,Thor,(2011),"Action,Adventure,Fantasy",115 min,PG-13,KennethBranagh,"ChrisHemsworth,AnthonyHopkins,NataliePortman,TomHiddleston","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",7.0,57,"764,898",$181.03M,Marvel
20,Iron Man,(2008),"Action,Adventure,Sci-Fi",126 min,PG-13,JonFavreau,"RobertDowneyJr.,GwynethPaltrow,TerrenceHoward,JeffBridges","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9,79,"960,817",$318.41M,Marvel
21,Captain America: Civil War,(2016),"Action,Adventure,Sci-Fi",147 min,PG-13,"AnthonyRusso,JoeRusso","ChrisEvans,RobertDowneyJr.,ScarlettJohansson,SebastianStan",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,7.8,75,"686,621",$408.08M,Marvel
22,The Avengers,(2012),"Action,Adventure,Sci-Fi",143 min,PG-13,JossWhedon,"RobertDowneyJr.,ChrisEvans,ScarlettJohansson,JeremyRenner",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8.0,69,"1,283,515",$623.28M,Marvel
23,Doctor Strange in the Multiverse of Madness,(2022),"Action,Adventure,Fantasy",,,SamRaimi,"RachelMcAdams,ElizabethOlsen,BenedictCumberbatch,ChiwetelEjiofor",Plot unknown. Sequel to the 2016 Marvel film 'Doctor Strange'.,,,,,Marvel
24,Brightburn,(2019),"Drama,Horror,Mystery",90 min,R,DavidYarovesky,"ElizabethBanks,DavidDenman,JacksonA.Dunn,AbrahamClinkscales","What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",6.1,44,"84,999",$17.30M,Marvel
25,Doctor Strange,(2016),"Action,Adventure,Fantasy",115 min,PG-13,ScottDerrickson,"BenedictCumberbatch,ChiwetelEjiofor,RachelMcAdams,BenedictWong","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",7.5,72,"619,963",$232.64M,Marvel
26,Ant-Man,(2015),"Action,Adventure,Comedy",117 min,PG-13,PeytonReed,"PaulRudd,MichaelDouglas,CoreyStoll,EvangelineLilly","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",7.3,64,"588,231",$180.20M,Marvel
27,Captain America: The Winter Soldier,(2014),"Action,Adventure,Sci-Fi",136 min,PG-13,"AnthonyRusso,JoeRusso","ChrisEvans,SamuelL.Jackson,ScarlettJohansson,RobertRedford","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",7.7,70,"756,882",$259.77M,Marvel
28,Iron Man 3,(2013),"Action,Adventure,Sci-Fi",130 min,PG-13,ShaneBlack,"RobertDowneyJr.,GuyPearce,GwynethPaltrow,DonCheadle","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",7.1,62,"772,986",$409.01M,Marvel
29,What If...?,(2021– ),"Animation,Action,Adventure",,,,"JeffreyWright,HayleyAtwell,JoshBrolin,DominicCooper","Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.",,,,,Marvel
30,Black Panther: Wakanda Forever,(2022),"Action,Adventure,Drama",,,RyanCoogler,"MartinFreeman,AngelaBassett,LupitaNyong'o,DanaiGurira",A sequel that will continue to explore the incomparable world of Wakanda and all the rich and varied characters introduced in the 2018 film.,,,,,Marvel
31,Thor: The Dark World,(2013),"Action,Adventure,Fantasy",112 min,PG-13,AlanTaylor,"ChrisHemsworth,NataliePortman,TomHiddleston,StellanSkarsgård","When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",6.9,54,"611,700",$206.36M,Marvel
32,Iron Man 2,(2010),"Action,Adventure,Sci-Fi",124 min,PG-13,JonFavreau,"RobertDowneyJr.,MickeyRourke,GwynethPaltrow,DonCheadle","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",7.0,57,"739,920",$312.43M,Marvel
33,Spider-Man 3,(2007),"Action,Adventure,Sci-Fi",139 min,PG-13,SamRaimi,"TobeyMaguire,KirstenDunst,TopherGrace,ThomasHadenChurch","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",6.2,59,"509,072",$336.53M,Marvel
34,Ant-Man and the Wasp,(2018),"Action,Adventure,Comedy",118 min,PG-13,PeytonReed,"PaulRudd,EvangelineLilly,MichaelPeña,WaltonGoggins","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",7.0,70,"327,092",$216.65M,Marvel
35,The Incredible Hulk,(2008),"Action,Adventure,Sci-Fi",112 min,PG-13,LouisLeterrier,"EdwardNorton,LivTyler,TimRoth,WilliamHurt","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",6.7,61,"444,258",$134.52M,Marvel
36,Hawkeye,(2021– ),"Action,Adventure,Crime",60 min,,,"AlaquaCox,Briand'ArcyJames,TonyDalton,VeraFarmiga","Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton.",,,,,Marvel
37,Guardians of the Galaxy Vol. 3,(2023),"Action,Adventure,Comedy",,,JamesGunn,"DaveBautista,ElizabethDebicki,ChrisPratt,KarenGillan",Plot unknown. Third installment of the 'Guardians of the Galaxy' franchise.,,,,,Marvel
38,The Marvels,(2022),"Action,Adventure,Fantasy",,,NiaDaCosta,"BrieLarson,ZaweAshton,TeyonahParris,ImanVellani",Sequel of the 2019 title 'Captain Marvel'.,,,,,Marvel
39,Moon Knight,(2022– ),"Action,Adventure,Drama",,,,"MayCalamawy,EthanHawke,OscarIsaac","Marc Spector is a former CIA agent whose life is saved by the Moon God, Khonshu.",,,,,Marvel
40,Long Shot,(2019),"Comedy,Romance",125 min,R,JonathanLevine,"CharlizeTheron,SethRogen,JuneDianeRaphael,O'SheaJacksonJr.","Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",6.8,67,"99,733",$30.32M,Marvel
41,Ralph Breaks the Internet,(2018),"Animation,Adventure,Comedy",112 min,PG,"PhilJohnston,RichMoore","JohnC.Reilly,SarahSilverman,GalGadot,TarajiP.Henson","Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",7.0,71,"137,872",$201.09M,Marvel
42,Fantastic 4: Rise of the Silver Surfer,(2007),"Action,Adventure,Fantasy",92 min,PG,TimStory,"IoanGruffudd,JessicaAlba,ChrisEvans,MichaelChiklis",The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,5.6,45,"253,509",$131.92M,Marvel
43,Ms. Marvel,(2021– ),"Action,Adventure,Comedy",,,,"MattLintz,LaurelMarsden,RishShah,ImanVellani",New Jersey raised Kamala Khan learns she has polymorphous powers.,,,,,Marvel
44,Fantastic Four,,"Action,Adventure,Comedy",,,,or:JonWatts,One of Marvel's most iconic families makes it to the big screen: the Fantastic Four.,,,,,Marvel
45,She-Hulk,(2022– ),"Action,Adventure,Comedy",,,,"TatianaMaslany,GingerGonzaga,TimRoth,MarkRuffalo",Jennifer Walters acquires Hulk-like qualities.,,,,,Marvel
46,Secret Invasion,,"Action,Adventure,Drama",,,,"KingsleyBen-Adir,EmiliaClarke,OliviaColman,SamuelL.Jackson",Fury and Talos try to stop the Skrulls who have infiltrated the highest spheres of the Marvel Universe.,,,,,Marvel
47,Deadpool 3,,"Action,Comedy,Sci-Fi",,,,yanReynolds,"The film is rumored to involve another popular group in the X-Men mythos, X-Force.",,,,,Marvel
48,Blade,,"Action,Adventure,Fantasy",,,,ahershalaAli,Plot is unknown at this time.,,,,,Marvel
49,Guardians of the Galaxy: Inferno,(2017 Video),"Short,Comedy,Music",4 min,Not Rated,"JamesGunn,DavidYarovesky","DavidHasselhoff,ChrisPratt,DaveBautista,KarenGillan","A Guardians of the Galaxy video, the Guardians Inferno, featuring 80s pop star Zardu Hasselfrau.",8.1,,"1,571",,Marvel
50,Ironheart,,"Action,Adventure,Drama",,,,ominiqueThorne,The genius teenage-girl inventor Riri Williams creates the most advanced suit of armor since Iron Man.,,,,,Marvel
51,Armor Wars,,"Action,Adventure,Drama",,,,onCheadle,Find out in this series what would happen if Tony Stark's tech fell into the wrong hands.,,,,,Marvel
52,Punisher: War Zone,(2008),"Action,Crime,Drama",103 min,R,LexiAlexander,"RayStevenson,DominicWest,JulieBenz,DougHutchison","Frank Castle, known as the Punisher, ruthlessly demolishes organized crime, but it starts an even bigger war.",5.9,30,"60,678",$7.95M,Marvel
53,Ant-Man and the Wasp: Quantumania,(2023),"Action,Adventure,Comedy",,,PeytonReed,"MichaelDouglas,EvangelineLilly,PaulRudd,MichellePfeiffer",The further adventures of Ant-Man and the Wasp.,,,,,Marvel
54,I Am Groot,,"Action,Adventure,Comedy",,,,,A series of shorts featuring the seedling Groot along with several new and unusual characters.,,,,,Marvel
55,Marvel Studios: Legends,(2021– ),"Action,Fantasy,Sci-Fi",7 min,TV-14,,,This series showcases individual characters from the MCU viewers have come to know and love over the years and revisit some of their most iconic moments.,6.5,,"2,687",,Marvel
56,Mutant X,(2001–2004),"Action,Adventure,Drama",60 min,TV-PG,,"VictoriaPratt,ForbesMarch,VictorWebster,JohnShea","A fugitive geneticist and four of his ""creations"" search for others of their kind while attempting to stay a step ahead of a morally ambiguous government agent.",5.9,,"3,982",,Marvel
57,Captain America 4,,"Action,Adventure,Sci-Fi",,,,nthonyMackie,Plot kept under wraps. Fourth movie in the Captain America franchise.,,,,,Marvel
58,Marvel Studios: Assembled,(2021– ),Documentary,58 min,TV-14,,"KevinFeige,FlorencePugh,JacSchaeffer,NateMoore","Assembled is a comprehensive documentary series that chronicles the creation of Marvel Studios' thrilling new shows and theatrical releases. Assembled is an immersive, and in-depth examination of the next phase of the MCU.",8.0,,"1,120",,Marvel
59,The Guardians of the Galaxy Holiday Special,(2022 TV Special),"Action,Adventure,Comedy",,,JamesGunn,"DaveBautista,ChrisPratt,VinDiesel,PomKlementieff","Watch the Guardians Star-Lord, Gamora, Drax, Rocket, and Groot engage in some spirited shenanigans in an all-new original special created for Disney+.",,,,,Marvel
60,X-Men,(2011),"Animation,Action,Sci-Fi",,TV-14,,"SteveBlum,CamClarke,AyaHisakawa,KatsunosukeHori","X-Men, still grieving over the death of Phoenix (Jean Grey), are investigating a case of a missing mutant girl in Northern Japan. This leads them to a mysterious virus that turns mutants into monsters. U-Men and the Inner Circle want it.",6.9,,"1,867",,Marvel
61,Iron Man: Armored Adventures,(2008–2012),"Animation,Action,Adventure",22 min,TV-Y7,,"AdrianPetriw,DanielBacon,AnnaCummer,LisaAnnBeley",A teenage Tony Stark battles evil with his revolutionary power armor technology.,6.5,,"3,103",,Marvel
62,Marvel One-Shot: Agent Carter,(2013 Video),"Short,Action,Adventure",15 min,Not Rated,LouisD'Esposito,"HayleyAtwell,BradleyWhitford,DominicCooper,TimTrobec","Frustrated at being marginalized at work, Peggy Carter goes on an unauthorized solo field mission.",7.6,,"8,192",,Marvel
63,Team Thor,(2016 Video),"Short,Comedy,Fantasy",4 min,Not Rated,TaikaWaititi,"ChrisHemsworth,MarkRuffalo,DaleyPearson","The story of what the hammer-wielding Nordic god Thor was up to while the rest of the Avengers were battling each other in ""Captain America: Civil War"". He moves into a flat with office worker Darryl Jacobson in Australia.",8.1,,"8,154",,Marvel
64,The Oscars,(2014 TV Special),"Comedy,Music",175 min,TV-14,HamishHamilton,"EllenDeGeneres,AnneHathaway,BarkhadAbdi,BradleyCooper",The Academy of Motion Picture Arts and Sciences celebrates the previous year's (2013) achievements in film.,7.8,,"3,900",,Marvel
65,Hulk Vs.,(2009 Video),"Animation,Action,Adventure",82 min,PG-13,"SamLiu,FrankPaur","FredTatasciore,MatthewWolf,GrahamMcTavish,GreyGriffin",Two stories featuring Marvel's anti-hero The Incredible Hulk and his encounters with the X-Man Wolverine and the god known as Thor.,7.0,,"11,785",,Marvel
66,Wolverine,(2011– ),"Animation,Action,Sci-Fi",23 min,TV-14,,"RikiyaKoyama,VicMignogna,MiloVentimiglia,RomiPak","Logan is asked by his old friend, a cop from Japan, to help him take down Shingen Yashida's crime syndicate and save Mariko, Logan's lost love, from forced marriage arranged by her father Shingen. Yukio, a female assassin, helps him.",6.4,,"1,263",,Marvel
67,The Oscars,(2020 TV Special),Music,170 min,TV-14,GlennWeiss,"ZazieBeetz,KeanuReeves,TimothéeChalamet,BradPitt",The 92nd Academy Awards for film achievements in 2019 are presented by the Academy of Motion Picture Arts and Sciences.,6.6,,982,,Marvel
68,Avengers: Damage Control,(2019 Video Game),Action,,,,"RyanBartley,BenedictCumberbatch,EvangelineLilly,RossMarquand","Join Shuri on an adventure where you are the hero. Combining Wakandan and stark technology you will become a superhero yourself. Fight along Doctor Strange, Ant-Man, The Wasp and many more against an old foe from long ago..",6.6,,33,,Marvel
69,The Sinister Six,,Sci-Fi,,,,,Plot unknown. Feature film based on the Marvel Comics series about a team of supervillians.,,,,,Marvel
70,Ultimate Avengers: The Movie,(2006 Video),"Animation,Action,Adventure",72 min,PG-13,"CurtGeda,StevenE.Gordon,BobRichardson","JustinGross,GreyGriffin,MichaelMassee,MarcWorden","To confront an alien menace, General Fury assembles a team of superheroes lead by a recently resuscitated Captain America.",6.7,,"12,057",,Marvel
71,The Oscars,(2016 TV Special),"Comedy,Music",175 min,TV-14,GlennWeiss,"ChrisRock,EmilyBlunt,CharlizeTheron,TomMcCarthy",The 88th Academy Awards ceremony honors achievement in film in 2015.,6.4,,"2,024",,Marvel
72,The Oscars,(2015 TV Special),"Comedy,Music",223 min,TV-14,HamishHamilton,"NeilPatrickHarris,AnnaKendrick,LupitaNyong'o,RobertDuvall",The Academy of Motion Picture Arts and Sciences celebrates the year's achievements in film.,6.6,,"3,655",,Marvel
73,Iron Man,(2010),"Animation,Action,Sci-Fi",25 min,TV-14,,"AdrianPasdar,BenDiskin,EdenRiegel,LauraBailey","When Tony Stark branches his company into Japan, he is opposed by the nefarious Zodiac organization. It's up to Stark's Iron Man to defeat the Zodiac, and defend Japan.",6.4,,"1,123",,Marvel
74,Marvel One-Shot: Item 47,(2012 Video),"Short,Action,Sci-Fi",12 min,Not Rated,LouisD'Esposito,"LizzyCaplan,JesseBradford,MaximilianoHernández,TitusWelliver",SHIELD agent Sitwell is assigned to recover an abandoned Chitauri weapon being used by a young couple robbing a bank.,6.7,,"8,028",,Marvel
75,Marvel One-Shot: The Consultant,(2011 Video),"Short,Sci-Fi",4 min,Not Rated,Leythum,"ClarkGregg,MaximilianoHernández,DeborahKnox,RobertDowneyJr.","Agents Coulson and Sitwell plan to derail General Thaddeus ""Thunderbolt"" Ross from interfering with S.H.I.E.L.D. affairs with a very special person.",6.6,,"5,979",,Marvel
76,The Invincible Iron Man,(2007 Video),"Animation,Action,Adventure",83 min,PG-13,"PatrickArchibald,JayOliva,FrankPaur","MarcWorden,GwendolineYeo,FredTatasciore,RodneySaulsberry","When a cocky industrialist's efforts to raise an ancient Chinese temple leads him to be seriously wounded and captured by enemy forces, he must use his ideas for a revolutionary power armor in order to fight back as a superhero.",5.9,,"6,991",,Marvel
77,Blade,(2011),"Animation,Action,Horror",25 min,Not Rated,,"AkioÔtsuka,MaayaSakamoto,KimMaiGuest,HaroldPerrineau","Legendary half-vampire, half-human vampire hunter Blade is tracking Deacon Frost, a very powerful and influential vampire who killed his mother and who heads Existence, a secretive vampire organization that operates in Southeast Asia.",6.5,,921,,Marvel
78,Iron Man,(2008 Video Game),"Action,Adventure,Sci-Fi",,T,JeffreyTseng,"RobertDowneyJr.,TerrenceHoward,ShaunToub,DimitriDiatchenko","Tony Stark, gets kidnapped and forced to build a devastating weapon. Instead, he builds a high-tech suit of armor and escapes captivity. When he uncovers a nefarious plot with global implications, he vows to protect the world as Iron Man.",6.9,,"1,826",,Marvel
79,Thor: Tales of Asgard,(2011 Video),"Animation,Action,Adventure",77 min,Not Rated,SamLiu,"MatthewWolf,RickGomez,TaraStrong,AlistairAbell",The young Norse god Thor embarks on a quest with his brother Loki to find and recover a legendary sword.,6.3,,"5,158",,Marvel
80,The Oscars,(2018 TV Special),"Comedy,Music",187 min,TV-14,GlennWeiss,"JimmyKimmel,HelenMirren,ViolaDavis,WillemDafoe","The 90th Annual Academy Awards ceremony, hosted by Jimmy Kimmel, celebrates the film industry's biggest achievements for the year 2017.",5.7,,"1,442",,Marvel
81,The Oscars,(2017 TV Special),"Comedy,Music",229 min,TV-14,GlennWeiss,"JimmyKimmel,JustinTimberlake,AliciaVikander,MahershalaAli","The 89th Annual Academy Awards ceremony celebrates the film industry's best and biggest in cinema for the year 2016 with host Jimmy Kimmel, including awards for best actors, directors, songs, original screenplays and motion picture.",6.7,,"1,862",,Marvel
82,Iron Man 2,(2010 Video Game),"Action,Adventure,Crime",,T,"MichaelMcCormick,RobertTaylor","DonCheadle,EricLoomis,SamuelL.Jackson,PhilLaMarr",Video game based upon the film of the same name.,6.2,,790,,Marvel
83,Echo,(II),"Action,Adventure,Crime",,,,laquaCox,Plot Unknown.,,,,,Marvel
84,Iron Man and Captain America: Heroes United,(2014 Video),"Animation,Action,Adventure",71 min,PG,"EricRadomski,LeoRiley","AdrianPasdar,RogerCraigSmith,FredTatasciore,DavidKaye","Iron Man and Captain America battle to keep the Red Skull and his triggerman, Taskmaster, from unleashing an army of Hydra Brutes on the world.",5.5,,"1,595",,Marvel
85,Untitled Wakanda Project,,"Action,Adventure,Sci-Fi",,,,anaiGurira,Plot under wraps.,,,,,Marvel
86,Iron Man & Hulk: Heroes United,(2013 Video),"Animation,Action,Adventure",71 min,PG,"EricRadomski,LeoRiley","AdrianPasdar,FredTatasciore,DeeBradleyBaker,RobinAtkinDownes",The Invincible Iron Man and the Incredible Hulk must join forces to save the Earth from its greatest threat yet.,4.7,,"2,192",,Marvel
87,Lego Marvel Avengers: Climate Conundrum,(2020– ),Animation,30 min,,,"AlexBarima,JamesBlight,MichaelDaingerfield,BillNewton","When Tony Stark's new weather machine is stolen by AIM, it's up to Black Widow and Hawkeye to retrieve it, taking them on a high-speed chase through New York City.",7.3,,16,,Marvel
88,Marvel Studios: Expanding the Universe,(2019),"Documentary,Short",12 min,TV-PG,,"StephenBroussard,KevinFeige,MaryLivanos,KevinR.Wright","An exciting look into the future of Marvel Studios, including never-before-seen footage featuring tales and filmmakers from upcoming Disney+ series.",6.8,,261,,Marvel
89,Marvel Studios: Assembling a Universe,(2014 TV Movie),"Documentary,History",43 min,TV-PG,,"AxelAlonso,VictoriaAlonso,HayleyAtwell,JeffreyBell","A look at the story behind Marvel Studios and the Marvel Cinematic Universe, featuring interviews and behind-the-scenes footage from all of the Marvel films, the Marvel One-Shots and ""Marvel's Agents of S.H.I.E.L.D.""",7.4,,"1,279",,Marvel
90,Stuntwomen: The Untold Hollywood Story,(2020),Documentary,84 min,Not Rated,AprilWright,"MichelleJubileeGonzalez,JuanAbdias,AndyArmstrong,TammieBaird",An action-documentary about the evolution of stunt women from The Perils of Pauline (1914) and beyond.,7.0,53,104,,Marvel
91,Untitled Marvel Cinematic Universe Television Show,,Action,,,,,Plot kept under wraps.,,,,,Marvel
92,Spider-Man Venom Saga,(2005),Animation,100 min,,BobRichardson,"SaraBallantine,RoscoeLeeBrowne,JoanLee",A story arc from the 1994 animated series Spider-Man that focused on Venom.,7.7,,21,,Marvel
93,Spider-Man: The Ultimate Villain Showdown,(2002 Video),"Animation,Action,Adventure",79 min,TV-Y7,BobRichardson,"DimitraArliss,SaraBallantine,ChristopherDanielBarnes,BobBergen","Featuring Green Goblin, Kingpin, and Dr. Octopus.",7.0,,184,,Marvel
94,2016 MTV Movie Awards,(2016 TV Special),"Comedy,News",,TV-14,GlennWeiss,"DwayneJohnson,KevinHart,MilesTeller,DaisyRidley","In a world of award shows that suck, MTV gives you an award show that doesn't suck. Kevin Hart and Dwayne ""The Rock"" Johnson host the 2016 MTV Movie Awards, an irreverent, in-your-face celebration of the movies fans really love with the stars they actually care about. And unlike other award shows, the fans choose the winners, not some exclusive committee of old, rich people. The show includes ...                See full summary »",5.2,,139,,Marvel
95,Avengers S.T.A.T.I.O.N.,(2014 Video),Sci-Fi,,,NicholasCooper,"CobieSmulders,TitusWelliver",a Plot,7.4,,23,,Marvel
96,Marvel 75 Years: From Pulp to Pop!,(2014 TV Movie),"Documentary,History",42 min,,ZakKnutson,"AxelAlonso,HayleyAtwell,GerryConway,LouisD'Esposito",Emily Vancamp hosts this one of a kind experience showing the history and development of Marvel from the first comic book to the latest blockbuster hit.,7.2,,855,,Marvel
97,Untitled Disney Marvel Film,(III) (2022),Action,,,,,a Plot,,,,,Marvel
98,Spider-Man: Maximum Venom,(2020),"Short,Action",,,,"YvetteNicoleBrown,SofiaWylie",a Plot,,,,,Marvel
99,Untitled Disney Marvel Film,(II) (2022),Action,,,,,a Plot,,,,,Marvel
100,Untitled Disney Marvel Film,(I) (2022),Action,,,,,a Plot,,,,,Marvel
