,Game ID,White Rating,Black Rating,Opening ECO,Opening Ply,White Centi-pawn Loss,White's Number of Inaccuracies,White's Number of Mistakes,White's Number of Blunders,Black Centi-pawn Loss,Black's Number of Inaccuracies,Black's Number of Mistakes,Black's Number of Blunders
56,ZSGnEhbn,1551,1498,B07,5,18,1,0,1,49,2,1,1
57,eiKWej7s,1494,1081,A04,2,65,2,1,1,131,3,2,2
58,FTNFhjGS,1912,1588,C41,4,66,3,2,3,45,3,2,2
59,IN5um6LP,1587,1582,C41,6,31,2,3,0,59,3,1,3
60,4wzZEXZI,1714,1907,C41,4,57,5,2,4,81,7,4,6
61,xugnAkjc,1672,1653,D00,4,41,4,0,2,17,6,1,0
62,RStRkLQL,1929,2297,C01,5,44,2,1,2,17,4,1,0
63,Z1We3snM,1592,1521,D00,3,20,0,0,1,69,2,2,2
64,lGzYMEiZ,1822,1827,A01,2,34,2,0,1,68,1,1,3
65,VTcy5VhE,1814,1747,A01,2,44,8,1,1,77,6,2,3
66,y3AYpiMu,1698,1828,B00,2,108,7,3,8,125,13,5,6
67,AEPKCMB8,1818,1839,B00,2,45,7,3,4,65,8,3,3
68,16nCGmiC,1966,1438,B40,5,59,8,1,1,24,1,0,0
69,pA8YxMro,1935,1921,B90,11,51,7,0,2,75,3,0,3
70,4P7KplGa,1893,1926,B40,5,56,11,3,5,55,8,3,6
71,0Q2LadDM,1938,2021,A40,2,24,1,1,0,76,3,2,1
72,OceNb5kB,1500,1594,B01,2,21,2,0,0,70,4,2,1
73,DjqJmox8,1725,1728,C02,8,69,2,1,1,23,2,1,0
74,s7bBRhu4,1703,1730,C00,3,59,8,0,8,60,6,2,7
75,OPuWQDBw,1719,1700,C00,2,82,1,1,2,41,2,0,1
76,vk05TwpA,1717,1664,C02,6,89,6,0,7,69,3,2,3
77,xD9plfm2,1698,1671,A44,4,81,2,3,1,42,2,1,0
78,DpkhWyLl,1645,1715,C00,3,113,8,5,4,92,5,5,3
79,SVl64vjR,1732,1690,C02,6,93,2,0,2,37,1,1,0
80,Z0ZMmKQ6,1672,1668,C02,10,72,2,1,2,46,2,0,2
81,B8y9vlwU,1500,1244,C01,9,38,7,1,0,80,5,3,2
82,A0FAdEmh,1434,1244,A80,3,61,6,0,2,22,3,0,0
83,EDG0ajBL,1560,1722,C47,8,66,1,0,1,49,0,0,3
84,HbJ0PQYs,2301,2188,C77,9,42,2,1,2,11,0,0,0
85,F2VmBOlB,2188,2315,D45,13,10,1,0,0,18,1,0,0
86,QTMl1WTF,1758,2188,A02,2,41,2,2,1,10,0,0,0
87,qdBupeWn,1604,2188,A04,2,18,1,1,0,12,1,0,0
88,11qySFcn,1696,1531,C19,13,10,2,0,0,10,1,0,0
89,jUlGETnd,1568,1462,C62,6,15,3,0,0,59,3,0,1
90,QqEr3Hxf,1560,1437,C70,10,49,2,0,3,97,2,2,2
91,WMkOnEGI,1571,1639,C46,6,54,4,0,1,3,0,0,0
92,wKlqwVpS,1367,1564,D04,5,55,3,1,0,9,0,0,0
93,v9dcVcNh,2004,1859,C45,8,70,8,3,5,89,12,6,3
94,MN7fwW91,1967,2007,C45,7,54,1,2,2,87,1,0,5
95,kImNL5aw,1606,1457,C40,4,78,3,1,4,54,7,1,1
96,Rboj37av,1497,1500,B95,12,79,1,2,3,36,2,1,1
97,VMcNRoPC,1505,1389,C00,4,54,3,1,1,94,7,1,2
98,aVTvDl7f,1490,1562,A22,6,35,6,2,0,60,5,1,3
99,rh3SPH5A,1362,1697,C10,6,90,7,4,2,59,4,4,1
100,Q4qUSYkC,1704,1736,B07,6,95,10,2,3,72,3,5,2
101,GfJA5iz6,1910,1937,B03,7,40,5,0,1,86,4,0,2
102,fJQktt5x,1481,1772,D94,9,54,2,1,1,60,3,0,1
103,1UKvI4CE,1760,1606,C62,6,72,5,0,6,44,3,2,2
104,spvKBlZY,1446,1353,B06,4,108,9,3,5,80,6,2,5
105,bfyAtFnf,1796,1626,C02,7,34,5,1,3,54,3,2,5
106,upESQLDU,1639,1637,C00,3,34,2,4,2,34,5,2,2
107,knhXT3ov,1387,1883,C25,4,73,2,1,1,12,0,0,0
108,jdIm39mU,1927,1553,A40,3,24,3,1,0,71,3,0,3
109,JlrARu3Y,1247,1224,C41,4,141,2,2,3,107,4,2,2
110,BpqTVHNC,1170,1142,C00,3,206,2,2,5,176,2,2,6
111,qS4XoQiA,1669,2070,B30,5,68,2,0,3,21,1,0,1
112,WtmRni3O,1562,1511,A00,1,172,3,3,4,217,5,4,4
113,ayFWjMqd,1558,1666,B12,5,104,3,2,4,77,5,0,3
114,bmgMMnmW,1537,1581,A04,2,54,2,2,2,90,2,1,4
115,2gk2i3zC,1451,1443,C57,11,58,5,0,6,77,6,1,5
116,nsZCsa4P,1209,1235,A80,3,150,5,0,9,122,6,1,7
117,snjW1Yoo,2133,1977,B24,5,27,1,1,1,43,2,1,2
118,ZH4hdJ64,2095,1998,C44,7,15,1,0,0,48,4,0,1
119,TiZA0G6d,2114,1820,C26,5,55,4,2,2,31,4,0,1
120,W17FySfx,2111,1812,B40,6,28,4,0,0,82,5,1,1
121,j93gAXYm,2105,1929,C26,5,28,1,1,0,65,2,3,0
122,Gg5MOaqu,2118,2038,C26,5,14,2,0,0,35,4,0,1
123,rnr6Hmnv,2129,2154,B53,7,30,1,0,1,9,1,0,0
124,wD8gORk1,2121,2006,B12,7,17,0,0,0,74,2,1,1
125,sboEUHUr,2116,1876,B01,5,11,0,0,0,99,0,2,1
126,i7X79G57,2101,2231,B00,3,45,1,1,1,103,1,0,2
127,RsoCc6uM,2217,1748,B12,7,5,0,0,0,69,1,1,1
128,bvBMUEkr,1738,1701,C24,7,13,1,0,0,35,6,0,1
129,nsMMfzKB,1734,1801,C01,5,53,7,2,2,32,7,0,1
130,tK1hA0pl,1500,1782,B84,12,39,0,1,0,58,3,2,1
131,WgymEIrj,1762,1795,B52,6,159,2,0,5,188,3,1,8
132,Z29OtQb3,1316,1293,C50,5,21,1,0,0,57,1,0,1
133,EzYwD91h,1498,1500,B02,4,18,1,0,0,140,2,0,1
134,xcmkeprh,1443,1457,B50,4,65,4,3,2,30,2,1,2
135,x7iCQVjr,1709,1703,B20,3,133,4,0,4,101,1,1,2
136,zZkGhCtD,1696,1730,B12,7,78,3,1,5,109,5,1,6
137,reN5GiN3,1934,2281,A10,1,7,0,0,0,32,1,1,1
138,iWUAfas6,1635,1934,A00,1,63,4,0,1,12,0,0,0
139,dg3hRmX8,1934,1632,C00,3,8,0,0,0,51,5,1,0
140,GAxF10jr,1738,1934,C48,7,53,1,1,1,3,0,0,0
141,peUNpcfR,1484,1934,C78,12,16,2,0,0,8,0,0,0
142,zyoSGnAE,2264,2144,B20,3,30,4,1,1,64,3,3,2
143,uBBSIokU,1979,2006,B22,8,74,6,2,5,73,5,2,7
144,OD2udwxj,2002,1855,A16,10,21,1,0,0,50,5,1,1
145,g96FbHMX,2019,2034,A20,2,32,1,0,1,8,0,0,0
146,sVhosIOI,2070,2024,B31,6,31,3,1,1,53,4,1,2
147,erKcEcyY,2030,1960,A15,2,66,6,0,1,30,2,1,0
148,Lxy8yu7z,1324,1212,C40,3,29,5,1,0,75,5,1,2
149,lLpOJDPS,1714,1874,D00,3,55,2,1,2,33,3,0,2
150,N0ZyRvtx,1787,1296,C00,3,142,2,2,3,229,1,1,5
151,pMqdSPvI,1574,1296,B00,5,8,1,0,0,62,3,1,1
152,HNSnXQLa,1364,1361,B27,4,17,0,1,0,51,3,1,1
153,vqDfmz6Q,2123,2001,A00,1,27,3,1,1,43,6,1,2
154,KahvzV5b,1895,1867,C66,8,8,0,0,0,51,3,0,1
155,Unwa7d2F,1420,1538,B00,5,49,3,1,1,10,2,0,0
156,Cxx0IXtA,1760,1531,B10,3,100,1,0,1,27,2,0,0
157,q42MpsBY,1617,1786,D00,2,54,3,2,2,86,6,1,3
158,UKIKvk9h,1807,1798,A10,2,17,4,0,0,65,2,1,1
159,dR3E6FZt,1639,1807,A20,2,8,0,0,0,49,1,0,1
160,3NZeinHd,1630,1723,B90,11,33,7,1,0,10,1,0,0
161,gU5sl4eF,1555,1575,D02,3,10,1,0,0,43,3,0,1
162,8ph0sqmi,1460,1475,A40,2,28,4,0,0,5,0,0,0
163,Rgb3mefM,1477,1496,D20,5,81,2,2,7,100,2,3,7
164,bmcbVsiT,1458,1478,B01,2,100,5,1,2,67,5,1,1
165,rXyjeXnv,1500,1472,C00,3,82,3,2,2,49,7,0,1
166,OReET7lZ,1800,1760,D00,3,47,8,0,3,28,7,0,0
167,mo1tenL1,1429,1756,C55,7,58,7,4,2,31,4,2,0
168,tNxRAwcM,1447,1753,D00,3,46,2,2,1,16,2,1,0
169,pOSphOC7,1744,1679,C41,5,23,0,0,0,71,1,0,2
170,MvohEg4I,1728,1861,B30,4,38,1,1,1,43,0,1,2
171,FvieiA2P,1570,1722,C44,6,30,8,1,2,17,10,0,0
172,sFM8Ki7h,1719,1668,B27,4,47,3,2,2,69,8,2,2
173,0rIaPtNf,1691,1708,C46,7,104,2,4,4,72,4,3,2
174,enVlh5hi,976,861,A00,1,96,4,2,6,65,1,1,5
175,3dZ0uJcz,1559,1230,A01,1,12,0,2,0,35,3,0,2
176,A26x92ea,1960,1972,C24,4,78,7,2,3,59,7,4,2
177,vevVyhGY,1971,1956,C00,3,73,5,2,1,54,2,2,1
178,paGzb221,1944,1948,C22,6,86,2,3,5,100,5,1,7
179,AurwCyB6,1189,2122,B06,4,40,3,1,2,57,4,0,4
180,qsPgXAjv,2116,1743,A47,4,27,3,0,0,74,3,0,2
181,pe6JV1jd,1508,2367,B30,4,68,3,2,2,41,4,1,0
182,rJYSXOs6,2362,1982,B01,6,6,0,0,0,22,0,2,0
183,N4BYpAmB,2361,1458,B01,4,17,0,1,0,70,2,0,2
184,O44Nl0xR,1332,2361,B20,3,41,2,1,1,4,0,0,0
185,ZDluP2sO,2360,1640,C00,3,13,1,0,0,122,2,1,1
186,P4qoDQUX,1592,2360,D01,5,38,3,0,1,8,0,0,0
187,TiorMEXG,1753,2358,A45,4,51,4,2,0,14,1,1,0
188,DzXNe3PT,2357,1637,B00,2,7,0,0,0,49,5,1,0
189,QVMVX3Wr,2354,1902,C45,7,13,1,0,0,41,3,0,1
190,0VNMIIjo,1787,1908,B17,8,55,3,5,3,31,4,1,1
191,PoflzAvR,1956,1896,A45,2,56,4,3,2,38,2,1,2
192,wOgXLHTL,1941,1892,B10,2,111,8,2,4,86,6,3,4
193,aUS7TlEj,1841,1855,A45,2,73,1,1,3,25,1,1,0
194,0VRrOdgd,1442,1529,C42,5,81,8,3,4,66,6,2,4
195,FmM1XzHZ,1495,1458,C20,3,65,1,1,4,89,3,5,4
196,CrWMMkJG,1472,1440,C20,3,155,5,1,6,128,5,4,6
197,4iXVR3mh,1557,1427,C45,8,75,7,5,2,98,10,3,3
198,IkkYJ3Xc,1484,1651,B30,4,60,1,0,2,8,0,0,0
199,4MhseZvU,1469,1599,B30,5,23,2,0,0,64,4,0,1
200,KbHAJOLC,1649,1475,B30,5,54,4,0,4,77,7,2,4
201,0eKPedG0,1575,1491,A45,2,65,4,1,1,66,4,1,2
202,Exxa1IUt,2296,2283,B32,8,24,2,0,0,64,3,0,2
203,2coWxqyO,995,1320,A00,1,53,4,3,2,24,4,1,1
204,Ilwt48RF,1343,1004,B00,2,35,1,0,0,277,1,0,1
205,RiDwreL7,909,1081,C00,3,93,3,3,2,127,9,3,2
206,oVZKoWrL,1302,1198,B21,3,233,4,2,6,267,4,4,7
207,no5367Wo,1874,1795,D02,3,63,1,0,2,26,1,1,1
208,TEsF5Oev,1916,1868,A11,2,51,5,5,4,41,4,4,4
209,URcgYDX9,1872,1874,B12,7,65,3,3,4,89,3,4,4
210,ueVwENYA,1879,1897,A43,3,146,8,2,3,112,2,2,6
211,fkV5veC6,1873,1906,D00,3,51,2,0,2,83,4,1,3
212,saNpTFwO,1878,1904,A46,5,67,1,0,2,36,1,0,1
213,EhyGHUlS,1878,1885,D02,5,52,8,3,2,53,5,2,4
214,S1ZH1MiI,1874,1891,A11,2,50,3,1,2,73,6,1,3
215,hDMi2wTb,1887,1897,B12,5,52,9,4,2,67,4,5,4
216,D7gd4MT4,1716,1804,D01,5,94,2,1,2,151,1,0,4
217,5hLZYYvo,1677,2131,C00,5,64,2,1,3,34,3,1,1
218,UQFRlHRb,1308,1584,B30,4,21,2,0,1,8,0,0,0
219,TG4kio2x,1504,1500,C46,7,57,2,1,2,20,0,0,1
220,7QXFgxG6,1526,1510,C41,4,96,4,1,3,129,3,1,2
221,EjdSFutD,1435,1429,C44,5,65,1,2,2,98,5,1,3
222,epN0cfXy,2036,1744,A50,3,34,3,1,1,81,4,1,3
223,MXV6B40A,2082,1500,E21,7,14,0,0,0,51,7,0,0
224,Q3DE71c9,1903,1921,B06,4,41,5,2,0,70,5,0,1
225,H29GIf4K,1915,1948,B56,10,28,1,0,0,44,1,0,1
226,YTAQESXF,1899,1904,A13,2,33,0,1,0,61,3,1,1
227,EODM2Zi9,1701,1622,B00,5,51,5,2,1,18,0,0,0
228,wcYi3PN1,1492,1479,B00,6,38,2,3,0,56,6,1,2
229,PRrzTB3O,1503,1515,D00,3,57,4,0,2,87,5,2,3
230,kXgCpTdC,1630,1564,C41,8,35,6,2,1,60,3,0,5
231,C2x7fFRd,1526,1507,B27,4,73,5,2,4,90,4,2,4
232,dPcuUSMk,1556,1426,C42,6,56,6,3,2,90,5,3,3
233,ep4PsNIm,1627,1626,C50,6,43,1,0,2,62,0,4,2
234,77EMatKR,1601,1601,B30,5,37,5,1,2,62,5,3,4
235,JeZO6XPc,1747,1512,C20,3,42,3,3,0,12,0,0,0
236,oriuOgxj,1501,1652,C22,7,13,1,0,0,63,1,0,2
237,DZzYiV7X,1759,1482,B23,4,53,4,1,1,22,1,0,0
238,tDP16YbV,1897,1630,C45,7,31,3,1,0,54,7,2,1
239,rRpCMt6O,1907,1932,C49,8,50,7,4,2,37,7,2,1
240,fg1FPpm3,1851,2024,B00,4,16,4,2,0,37,1,2,2
241,3GI8wXWh,1656,1846,C50,8,79,0,2,1,22,0,1,0
242,VRiXcoR5,1833,1928,A43,5,30,3,0,2,50,4,0,4
243,qmd31Lvs,1951,1818,C45,8,61,4,2,5,46,4,2,4
244,7hfT8vSK,1634,1903,C26,5,77,3,2,3,43,2,2,1
245,LbslgGrf,1521,1636,C50,6,40,2,0,1,20,1,0,0
246,4EnMdulD,1496,1570,A30,2,62,2,1,2,96,2,1,3
247,nbJZYYMj,1939,1924,A45,2,53,6,3,1,30,3,0,0
248,Ku6StsAy,1838,1903,B11,8,27,3,1,1,27,4,0,1
249,w9u7tufn,1749,2358,C34,6,65,2,1,3,39,0,0,2
250,L0f7hQB0,2346,2268,D45,9,28,2,4,1,34,11,2,1
251,xsGgxu6Y,1734,2345,A48,5,61,7,2,2,31,4,3,0
252,amS9Cb7H,2336,2190,A67,15,21,4,0,0,47,5,2,1
253,B5pbgPDI,2317,2314,C58,11,68,2,0,2,21,3,0,0
254,ZeVpevx2,1242,1279,B10,2,112,3,4,4,76,4,6,2
255,Z4mkfFff,2275,2089,B01,6,44,2,0,1,81,3,0,2
256,75ND3CJX,2037,2272,B21,5,47,3,0,2,19,0,2,0
257,n8YvrooY,2268,2057,C78,9,34,6,2,0,54,7,1,2
258,u9JPq1va,2027,2265,B53,7,62,3,0,3,39,3,2,1
259,dHDiSk9j,2103,2274,A03,2,43,1,3,1,95,2,0,4
260,1e242OWP,2026,2270,A30,2,51,5,1,1,21,1,2,0
261,62pc4kGy,2083,2266,A37,10,96,3,1,3,62,3,1,3
262,kI6JpWhu,2262,2041,B00,2,44,4,2,4,68,3,3,5
263,z3Q6Wk5x,2280,2254,A37,9,76,8,0,8,56,2,4,4
264,m0lv70sB,1843,1832,C21,5,68,3,0,2,98,3,1,5
265,8Z0rqwp9,1570,1357,D31,6,12,1,0,0,64,0,0,1
266,1fcjWHUM,1376,1676,C41,5,78,3,0,2,16,0,0,0
267,D5muLppS,1591,1592,A40,1,64,2,4,2,42,5,1,2
268,MkPbJert,1606,1442,A40,2,80,1,0,2,19,2,0,0
269,RwZDAau9,1605,1480,A45,2,61,3,2,1,15,2,0,0
270,cSkgJNAy,1620,1462,D00,3,97,1,0,2,6,0,0,0
271,uZIHGDMA,2138,2194,B25,11,80,5,2,4,52,5,2,3
272,MEiH73ro,1669,1711,C00,2,85,5,1,4,59,2,3,3
273,6ferksop,1654,1708,C64,6,73,2,2,3,49,0,1,2
274,YLDihTus,1648,1661,D10,5,31,0,1,1,50,4,3,2
275,Aoi52aPI,1797,1895,A40,2,104,2,4,2,59,1,1,3
276,i4bAQzS3,1875,1919,B00,2,70,3,3,5,93,4,6,5
277,iUONx4Jy,1854,1881,C00,3,79,2,0,6,121,1,0,6
278,4LYs86GB,1811,1816,B34,9,58,3,2,3,93,2,1,3
279,c6QeLq4N,1866,2198,D93,11,74,0,1,2,30,1,0,0
280,IyR3YDmF,1681,1629,B12,7,100,2,4,3,139,1,1,5
281,0wyUQ9Jy,2198,1602,C45,8,40,3,3,0,8,0,0,0
282,5zJsCJ4z,1514,1580,C49,8,46,2,0,1,6,0,0,0
283,2AdsjIJo,1558,1931,B30,4,5,0,0,0,70,1,1,1
284,2iXJ8pri,2248,1534,C20,3,40,2,1,2,8,0,0,0
285,1K9Jgf58,2109,1511,D30,4,40,1,0,1,9,0,0,0
286,pNz8q7Kg,1489,1951,A00,2,10,0,0,0,54,2,2,1
287,frs3luGJ,1713,1471,C65,6,46,4,2,0,12,0,0,0
288,5JTlL5kk,1482,1392,A00,4,137,9,2,5,110,1,3,5
289,Ycj60TRq,1532,1683,C41,8,27,3,1,1,61,4,1,2
290,lDid5fIM,1669,1783,A45,2,53,6,5,4,71,9,2,5
291,xiNSnfL8,1678,1712,D00,3,67,4,1,2,44,1,1,1
292,YiRw4iAj,1747,1683,A80,3,110,11,2,5,137,6,2,8
293,m1eKBXRX,2376,2281,A10,2,27,3,0,1,27,3,0,1
294,KGsBZJOl,2401,2568,E80,9,49,8,1,4,35,5,1,3
295,IhgFGuMH,2325,2353,B25,11,131,4,2,3,103,2,2,5
296,zONlgyrv,2161,2319,B50,5,40,4,3,1,23,5,1,0
297,FBdPk9Xc,2266,2181,A20,2,23,4,1,3,34,4,2,3
298,KwQqQW1I,1704,1744,C58,11,34,1,0,2,66,1,0,2
299,HBSiPSpF,1418,1169,C60,6,38,0,0,1,81,3,1,2
300,Q1QT0mvl,1638,1962,B00,3,86,3,4,4,58,3,3,2
301,GLeH34CL,1355,1555,C60,5,73,5,1,5,57,6,0,4
302,Jm6Jscln,1437,1538,C44,5,94,4,0,3,49,1,1,2
303,p80JWDJ1,1558,1508,D02,4,82,3,2,7,62,4,0,6
304,k1H7EQ99,1542,1509,A40,2,29,1,0,0,143,1,1,2
305,1XxfZwjV,1295,1571,D00,3,64,3,0,6,94,8,0,5
306,jPtlhDj2,1687,1583,D00,3,47,0,1,0,116,3,0,2
307,GH6kfPLW,1604,1522,C02,5,122,0,2,3,67,3,1,2
308,lIZ0nEHZ,1603,1622,C50,5,39,2,0,0,127,1,2,2
309,9hMzKJ8n,1443,1612,D02,4,70,8,0,2,36,6,1,1
310,3Wmgz2I1,1464,1599,C60,6,52,4,2,3,26,4,1,1
311,dps9ozFg,1842,1868,D02,3,58,3,3,2,37,4,1,0
312,1zPbZnU7,1888,1897,B01,4,59,4,3,1,31,0,2,1
313,b51SS0wX,1231,1609,A00,1,70,5,1,2,31,3,0,1
314,agM9HQWj,1236,1537,B01,4,57,6,1,2,26,5,0,1
315,maODD0ZT,1753,1238,C55,12,106,1,2,5,149,2,1,4
316,qxXt0oLS,1242,1772,A01,1,73,3,3,2,29,4,0,0
317,QyhuDFyv,1250,1208,A01,1,131,1,0,6,125,2,0,5
318,VN7izi0z,1254,1588,A01,3,93,4,4,4,69,5,0,4
319,lB9hpx6w,1390,1264,C57,8,101,5,3,2,126,6,1,3
320,31Qgdz6u,1645,1577,A40,2,66,3,3,2,34,3,1,0
321,5TYzdPzp,1500,1500,C40,4,40,3,1,2,64,8,2,3
322,uC3POa1H,1863,1834,B40,4,44,2,0,1,42,0,1,1
323,U20qRPIb,1928,1899,B92,11,74,8,2,3,52,8,1,3
324,t0ML8UqR,1928,1911,B32,8,98,7,0,4,81,5,1,3
325,4bsbACUF,1427,1592,D00,3,51,2,1,2,90,1,1,2
326,Nbi2jEE0,1562,1586,D02,4,54,1,1,1,15,0,0,0
327,Bf1OUB3e,1579,1547,C42,5,5,0,0,0,44,3,1,1
328,TWRcKxOv,1513,1573,C46,7,48,2,0,1,4,0,0,0
329,Bf30dKgx,1783,2010,D02,4,77,1,3,3,50,1,1,3
330,wYS31Fgb,1827,1814,B12,5,53,7,4,3,33,4,1,2
331,wDSQVgcy,1805,1838,A40,2,16,7,0,0,28,9,1,2
332,LPqaxS5L,1821,1833,D00,3,103,0,0,3,75,1,2,2
333,DSQdC63h,1400,1440,C68,11,126,3,6,5,153,4,3,8
334,5HvRlxVv,2016,1922,C46,5,126,2,4,9,109,3,3,8
335,aWKDplIB,2242,2021,B33,17,35,2,0,2,68,2,0,3
336,g9fYTJzY,2028,2179,B12,5,119,5,3,7,103,4,2,6
337,AhPfi4v0,1852,2045,D00,3,47,5,0,1,68,1,2,2
338,B9jqLncf,2436,2494,C50,6,44,6,2,2,26,2,1,1
339,cJJg2ccM,2486,2441,B51,5,9,0,0,0,39,0,1,1
340,s4EHgeMr,2224,2438,B92,11,82,3,1,2,61,3,0,1
341,VCi3HbNH,2333,2434,D04,5,49,6,1,2,21,2,2,0
342,x1ClLObr,2319,2441,D47,16,23,0,0,1,45,2,0,3
343,VJ0mqOVW,2437,2323,B76,14,42,7,2,2,59,5,6,3
344,6gRfYhNG,2267,2444,D00,3,14,2,1,0,40,2,1,2
345,9KqLMIfu,2333,2440,B95,12,83,1,2,3,58,4,0,2
346,1s0JlTUI,2442,2331,B12,7,42,4,1,7,41,2,2,7
347,49QmSyC5,2240,2439,B22,3,66,4,0,1,31,1,0,0
348,zQTsh2Iv,2027,1677,C41,5,74,5,1,3,53,2,1,3
349,RxV5V4cK,1909,1681,D45,9,43,1,0,2,67,2,0,4
350,ONk5eJu5,1687,1779,B01,4,124,0,1,2,58,1,0,1
351,NTD4F55d,1577,1501,D80,7,93,2,1,2,43,4,2,0
352,g1DwG6rm,1547,1595,B20,3,68,5,2,4,91,8,0,6
353,zWlrfwQI,1664,1384,B10,3,28,1,1,0,80,2,2,1
354,8ORa96UJ,1369,1418,B10,3,67,8,2,2,107,3,3,2
355,6Uiif5dk,1849,1884,C01,5,104,6,1,5,141,6,1,6
356,CKRl5rAo,1396,1398,C46,6,104,4,2,4,79,3,2,4
357,rqprk1vC,1562,1392,C57,11,17,0,0,0,82,2,2,1
358,yE9kd2hE,1618,2144,B07,5,53,3,3,2,81,10,2,2
359,wZM9wKUi,1897,2137,E12,7,63,3,1,2,37,3,1,1
360,l0yTaC56,2137,1687,B00,2,38,5,2,0,80,4,1,4
361,G0JZUrjb,1879,1851,E73,11,77,1,1,5,82,2,3,3
362,slUDLrPY,2089,1884,A31,5,22,2,1,1,47,3,2,2
363,rvyypgbb,2058,1891,A00,7,32,4,2,1,51,6,0,1
